lat,lng,Low,High
36.7244,-81.9598,"4,418","7,068"
36.7152,-95.9044,"4,418","7,068"
30.8533,-90.0405,"4,418","7,068"
33.2839,-90.9474,"4,418","7,068"
30.2145,-96.4034,"4,418","7,068"
45.0307,-67.6287,"4,418","7,068"
38.6,-86.1053,"4,418","7,068"
30.6106,-85.6653,"4,418","7,068"
37.9617,-90.8774,"4,418","7,068"
41.3356,-91.7179,"4,418","7,068"
41.5311,-96.222,"4,418","7,068"
32.9695,-82.7959,"4,418","7,068"
31.4076,-88.2079,"4,418","7,068"
38.3522,-89.4105,"4,418","7,068"
37.7534,-85.1748,"4,418","7,068"
44.4524,-116.7847,"4,418","7,068"
35.8225,-76.5775,"4,418","7,068"
39.7842,-97.0875,"4,418","7,068"
39.971,-103.2012,"4,418","7,068"
33.7903,-84.4671,"2,500","4,000"
43.1138,-74.4222,"2,500","4,000"
41.6018,-84.1301,"2,500","4,000"
40.4728,-90.2075,"2,500","4,000"
41.047,-86.2635,"2,500","4,000"
39.9254,-78.1127,"2,500","4,000"
36.3817,-91.8182,"2,500","4,000"
36.554,-89.1874,"2,500","4,000"
41.8401,-87.8168,688,"1,100"
31.154,-83.4305,688,"1,100"
47.9026,-90.5354,688,"1,100"
34.3219,-118.2247,404,647
33.7031,-117.7609,333,533
28.5144,-81.3235,333,533
41.4022,-74.3056,333,533
36.0611,-79.1207,333,533
30.1213,-93.8939,333,533
38.2461,-78.014,333,533
44.0056,-72.3768,333,533
38.5418,-86.495,333,533
42.9876,-71.1254,250,400
36.396,-79.775,250,400
38.512,-78.8757,250,400
33.7031,-117.7609,664,"1,062"
28.5144,-81.3235,664,"1,062"
41.4022,-74.3056,664,"1,062"
36.0611,-79.1207,664,"1,062"
30.1213,-93.8939,664,"1,062"
38.2461,-78.014,664,"1,062"
44.0056,-72.3768,664,"1,062"
38.5418,-86.495,664,"1,062"
37.4228,-122.3291,278,444
33.349,-112.4915,"137,074","219,319"
40.6673,-111.9236,"69,563","111,301"
39.0907,-77.6357,"69,000","110,400"
39.0907,-77.6357,"69,000","110,400"
33.349,-112.4915,"45,685","73,095"
33.349,-112.4915,"36,987","59,178"
41.8401,-87.8168,"37,000","59,200"
31.154,-83.4305,"37,000","59,200"
47.9026,-90.5354,"37,000","59,200"
39.0907,-77.6357,"36,500","58,400"
41.2953,-96.1543,"36,250","58,000"
39.3298,-104.9293,"36,250","58,000"
33.7019,-84.7679,"36,250","58,000"
38.8847,-95.2926,"36,250","58,000"
43.2797,-123.1665,"36,250","58,000"
38.9123,-119.6162,"36,250","58,000"
47.7361,-119.6918,"36,250","58,000"
46.4329,-91.9162,"36,250","58,000"
45.9338,-95.4535,"36,250","58,000"
39.7694,-88.2173,"36,250","58,000"
36.9326,-92.4988,"36,250","58,000"
43.3869,-98.3661,"36,250","58,000"
45.56,-123.0984,"31,750","50,800"
45.0388,-92.8838,"31,750","50,800"
35.9791,-94.2156,"31,750","50,800"
40.1894,-80.2483,"31,750","50,800"
37.2804,-113.5047,"31,750","50,800"
39.6036,-77.814,"31,750","50,800"
43.3685,-88.2307,"31,750","50,800"
36.2933,-82.4974,"31,750","50,800"
41.4697,-71.6226,"31,750","50,800"
43.3137,-73.4308,"31,750","50,800"
44.2736,-72.6147,"31,750","50,800"
39.4553,-81.4953,"31,750","50,800"
36.7244,-81.9598,"31,750","50,800"
36.7152,-95.9044,"31,750","50,800"
30.8533,-90.0405,"31,750","50,800"
33.2839,-90.9474,"31,750","50,800"
30.2145,-96.4034,"31,750","50,800"
45.0307,-67.6287,"31,750","50,800"
38.6,-86.1053,"31,750","50,800"
30.6106,-85.6653,"31,750","50,800"
37.9617,-90.8774,"31,750","50,800"
41.3356,-91.7179,"31,750","50,800"
41.5311,-96.222,"31,750","50,800"
32.9695,-82.7959,"31,750","50,800"
31.4076,-88.2079,"31,750","50,800"
38.3522,-89.4105,"31,750","50,800"
37.7534,-85.1748,"31,750","50,800"
44.4524,-116.7847,"31,750","50,800"
35.8225,-76.5775,"31,750","50,800"
39.7842,-97.0875,"31,750","50,800"
39.971,-103.2012,"31,750","50,800"
33.188,-96.5724,"19,517","31,226"
33.349,-112.4915,"14,647","23,435"
40.6673,-111.9236,"6,000","9,600"
38.4493,-121.3443,142,227
42.0426,-89.3207,"1,875","3,000"
37.6469,-121.8887,27,43
38.3365,-81.5281,550,880
33.7437,-115.9938,28,45
34.7631,-86.5502,"238,495","381,592"
38.8297,-89.9049,"238,495","381,592"
40.1616,-85.7194,"238,495","381,592"
32.6347,-90.0337,"238,495","381,592"
35.6081,-88.8385,"238,495","381,592"
37.7202,-84.278,"238,495","381,592"
42.9128,-75.6696,"238,495","381,592"
43.7841,-111.6592,"238,495","381,592"
39.8942,-83.4004,"238,495","381,592"
41.9167,-97.6008,"238,495","381,592"
34.1278,-83.209,"238,495","381,592"
35.858,-82.7058,"238,495","381,592"
30.4441,-83.4701,"238,495","381,592"
36.011,-93.7246,"238,495","381,592"
41.3307,-94.0156,"238,495","381,592"
38.4137,-78.2792,"238,495","381,592"
30.9655,-95.9284,"238,495","381,592"
37.4781,-90.345,"238,495","381,592"
32.3644,-91.2427,"238,495","381,592"
45.3007,-111.9203,"238,495","381,592"
41.6167,-86.2899,"160,875","257,400"
41.9144,-85.5278,"160,875","257,400"
39.0907,-77.6357,"101,350","162,160"
39.0907,-77.6357,"101,350","162,160"
39.0907,-77.6357,"101,350","162,160"
39.0907,-77.6357,"101,350","162,160"
39.0907,-77.6357,"101,350","162,160"
39.0907,-77.6357,"101,350","162,160"
39.0907,-77.6357,"74,313","118,900"
39.0907,-77.6357,"74,313","118,900"
39.0907,-77.6357,"74,313","118,900"
39.0907,-77.6357,"74,313","118,900"
39.0907,-77.6357,"74,313","118,900"
39.0907,-77.6357,"74,313","118,900"
39.0907,-77.6357,"74,313","118,900"
39.9695,-83.0093,"72,175","115,480"
39.9274,-77.7213,"72,175","115,480"
38.4111,-91.075,"72,175","115,480"
46.5347,-118.899,"72,175","115,480"
36.0827,-78.2857,"72,175","115,480"
42.5831,-72.5918,"72,175","115,480"
36.992,-79.8811,"72,175","115,480"
38.2391,-84.8771,"72,175","115,480"
44.8576,-72.9131,"72,175","115,480"
44.5929,-74.3038,"72,175","115,480"
35.1556,-86.0937,"72,175","115,480"
37.9923,-88.9242,"72,175","115,480"
34.4417,-87.8437,"72,175","115,480"
44.974,-70.444,"72,175","115,480"
38.5645,-95.2859,"72,175","115,480"
34.3754,-83.2291,"72,175","115,480"
39.4149,-85.0602,"72,175","115,480"
32.1333,-91.6738,"72,175","115,480"
35.5124,-93.8906,"72,175","115,480"
42.1811,-111.8132,"72,175","115,480"
29.8766,-84.8137,"72,175","115,480"
33.1755,-95.2184,"72,175","115,480"
42.7325,-93.2625,"72,175","115,480"
36.6831,-76.9386,"72,175","115,480"
31.4772,-90.8979,"72,175","115,480"
40.1763,-98.9528,"72,175","115,480"
39.0907,-77.6357,"71,800","114,880"
39.0907,-77.6357,"71,800","114,880"
39.0907,-77.6357,"71,800","114,880"
39.0907,-77.6357,"71,800","114,880"
39.0907,-77.6357,"71,800","114,880"
39.0907,-77.6357,"71,800","114,880"
38.7029,-77.4809,"68,263","109,220"
38.7029,-77.4809,"68,263","109,220"
38.7029,-77.4809,"68,263","109,220"
38.7029,-77.4809,"68,263","109,220"
39.0907,-77.6357,"66,888","107,020"
39.0907,-77.6357,"66,888","107,020"
39.0907,-77.6357,"66,888","107,020"
39.0907,-77.6357,"66,888","107,020"
39.0907,-77.6357,"66,888","107,020"
39.0907,-77.6357,"66,888","107,020"
45.5919,-118.7369,"66,756","106,810"
40.5241,-82.7941,"66,769","106,830"
45.419,-119.5844,"66,769","106,830"
40.5241,-82.7941,"66,650","106,640"
45.419,-119.5844,"66,650","106,640"
38.7029,-77.4809,"66,600","106,560"
38.7029,-77.4809,"66,600","106,560"
38.7029,-77.4809,"66,600","106,560"
38.7029,-77.4809,"66,600","106,560"
45.5919,-118.7369,"66,456","106,330"
40.5241,-82.7941,"66,269","106,030"
45.419,-119.5844,"66,269","106,030"
45.5919,-118.7369,"66,381","106,210"
40.5241,-82.7941,"65,456","104,730"
45.419,-119.5844,"65,456","104,730"
40.5241,-82.7941,"65,456","104,730"
45.419,-119.5844,"65,456","104,730"
45.5919,-118.7369,"65,456","104,730"
39.0907,-77.6357,"65,250","104,400"
39.0907,-77.6357,"65,250","104,400"
39.0907,-77.6357,"65,250","104,400"
39.0907,-77.6357,"65,250","104,400"
39.0907,-77.6357,"65,250","104,400"
39.0907,-77.6357,"65,250","104,400"
45.5919,-118.7369,"64,769","103,630"
38.8368,-77.277,"64,650","103,440"
38.8531,-77.2998,"64,650","103,440"
38.8368,-77.277,"64,650","103,440"
38.8531,-77.2998,"64,650","103,440"
38.8368,-77.277,"64,650","103,440"
38.8531,-77.2998,"64,650","103,440"
38.8368,-77.277,"64,650","103,440"
38.8531,-77.2998,"64,650","103,440"
38.8368,-77.277,"64,650","103,440"
38.8531,-77.2998,"64,650","103,440"
39.0907,-77.6357,"61,328","98,125"
39.0907,-77.6357,"61,328","98,125"
39.0907,-77.6357,"61,328","98,125"
39.0907,-77.6357,"61,328","98,125"
39.0907,-77.6357,"61,328","98,125"
39.0907,-77.6357,"59,475","95,160"
39.0907,-77.6357,"59,475","95,160"
39.0907,-77.6357,"59,475","95,160"
39.0907,-77.6357,"59,475","95,160"
39.0907,-77.6357,"59,475","95,160"
